Date,Open,High,Low,Close,Volume,Adj Close
2016-03-17,4.14,4.17,4.10,4.12,11264100,4.12
2016-03-16,4.09,4.16,4.07,4.14,14750700,4.14
2016-03-15,4.06,4.09,4.05,4.06,7868200,4.06
2016-03-14,4.01,4.08,4.00,4.07,22331000,4.07
2016-03-11,3.85,3.975,3.85,3.96,7447700,3.96
2016-03-10,3.85,3.90,3.81,3.86,8044100,3.86
2016-03-09,3.85,3.87,3.825,3.86,8874400,3.86
2016-03-08,3.80,3.82,3.75,3.80,13318400,3.80
2016-03-07,3.71,3.81,3.68,3.79,11885800,3.79
2016-03-04,3.80,3.82,3.71,3.72,13210000,3.72
2016-03-03,3.88,3.905,3.80,3.83,8949100,3.83
2016-03-02,3.92,3.92,3.87,3.88,7409300,3.88
2016-03-01,3.86,3.93,3.85,3.89,7865700,3.89
2016-02-29,3.87,3.94,3.86,3.86,7715300,3.86
2016-02-26,3.88,3.89,3.84,3.87,7566300,3.87
2016-02-25,4.00,4.01,3.87,3.90,10494700,3.90
2016-02-24,3.84,4.04,3.83,3.97,16661200,3.97
2016-02-23,4.10,4.12,3.745,3.79,25737500,3.79
2016-02-22,3.99,4.05,3.98,3.99,10917100,3.99
2016-02-19,3.95,4.01,3.93,3.96,8466500,3.96
2016-02-18,3.91,3.965,3.905,3.95,11543800,3.95
2016-02-17,3.88,3.94,3.87,3.92,6043400,3.92
2016-02-16,3.89,3.92,3.84,3.92,6804200,3.92
2016-02-15,3.85,3.87,3.80,3.86,7163500,3.86
2016-02-12,3.75,3.825,3.73,3.82,7617800,3.82
2016-02-11,3.78,3.835,3.765,3.83,4702000,3.83
2016-02-10,3.84,3.85,3.73,3.75,13969400,3.75
2016-02-09,3.73,3.76,3.67,3.76,11681600,3.76
2016-02-08,3.82,3.85,3.76,3.79,6010500,3.79
2016-02-05,3.88,3.89,3.785,3.83,6264800,3.83
2016-02-04,3.88,3.91,3.81,3.86,7571700,3.86
2016-02-03,3.93,3.95,3.85,3.90,5818100,3.90
2016-02-02,3.97,4.02,3.93,3.98,6083700,3.98
2016-02-01,3.94,3.97,3.90,3.97,9453100,3.97
2016-01-29,3.86,3.94,3.845,3.88,15500300,3.88
2016-01-28,3.86,3.86,3.79,3.82,8601300,3.82
2016-01-27,3.83,3.95,3.83,3.84,6982800,3.84
2016-01-26,3.86,3.86,3.86,3.86,000,3.86
2016-01-25,3.98,3.99,3.78,3.86,9985500,3.86
2016-01-22,3.99,3.99,3.92,3.97,5415800,3.97
2016-01-21,4.09,4.09,3.92,3.93,9135700,3.93
2016-01-20,4.05,4.06,3.98,4.00,5497900,4.00
2016-01-19,4.02,4.07,4.005,4.04,4852700,4.04
2016-01-18,4.00,4.05,3.97,4.01,5189700,4.01
2016-01-15,4.14,4.14,4.00,4.04,6197900,4.04
2016-01-14,4.06,4.14,4.02,4.09,6608800,4.09
2016-01-13,4.10,4.14,4.065,4.11,9464600,4.11
2016-01-12,4.02,4.15,4.02,4.07,10774300,4.07
2016-01-11,4.00,4.03,3.95,3.98,6487000,3.98
2016-01-08,4.07,4.12,4.01,4.06,10392300,4.06
2016-01-07,4.08,4.15,4.055,4.08,9610300,4.08
2016-01-06,4.09,4.10,3.99,4.03,5992200,4.03
2016-01-05,4.05,4.09,4.02,4.07,5056100,4.07
2016-01-04,4.11,4.14,4.05,4.09,4635500,4.09
2016-01-01,4.09,4.09,4.09,4.09,000,4.09
2015-12-31,4.15,4.16,4.09,4.09,5023300,4.09
2015-12-30,4.10,4.14,4.07,4.14,6422900,4.14
2015-12-29,4.00,4.08,3.98,4.08,5814600,4.08
2015-12-28,4.00,4.00,4.00,4.00,000,4.00
2015-12-25,4.00,4.00,4.00,4.00,000,4.00
2015-12-24,4.03,4.04,3.98,4.00,2287600,4.00
2015-12-23,3.95,4.03,3.93,4.02,7909400,4.02
2015-12-22,3.94,3.96,3.88,3.90,5720100,3.90
2015-12-21,3.91,3.95,3.86,3.87,4986600,3.87
2015-12-18,3.87,3.96,3.85,3.91,10143200,3.91
2015-12-17,3.94,3.96,3.87,3.90,11863800,3.90
2015-12-16,3.73,3.865,3.71,3.80,12001000,3.80
2015-12-15,3.90,3.94,3.665,3.69,23746000,3.69
2015-12-14,3.81,3.85,3.74,3.78,5712200,3.78
2015-12-11,3.84,3.90,3.78,3.83,4945000,3.83
