Date,Open,High,Low,Close,Volume,Adj Close
2016-03-25,17.00,17.00,17.00,17.00,000,17.00
2016-03-24,17.01,17.05,16.75,17.00,21322500,17.00
2016-03-23,17.65,17.81,17.52,17.60,9844200,17.60
2016-03-22,17.82,18.02,17.81,17.90,6857500,17.90
2016-03-21,18.29,18.29,17.85,18.17,10307800,18.17
2016-03-18,17.79,18.14,17.76,18.10,19416800,18.10
2016-03-17,17.23,17.58,17.12,17.29,13904000,17.29
2016-03-16,16.63,16.91,16.56,16.88,12521600,16.88
2016-03-15,17.64,17.735,17.10,17.13,14086800,17.13
2016-03-14,17.92,17.945,17.71,17.74,8539800,17.74
2016-03-11,17.70,17.72,17.35,17.61,7938300,17.61
2016-03-10,17.94,18.00,17.58,17.70,8457200,17.70
2016-03-09,17.80,17.86,17.325,17.86,13900500,17.5547
2016-03-08,19.39,19.44,18.17,18.21,25330800,17.89872
2016-03-07,18.48,18.68,18.47,18.55,15283800,18.2329
2016-03-04,17.49,17.755,17.42,17.67,11339900,17.36795
2016-03-03,17.50,17.73,17.18,17.25,16153400,16.95513
2016-03-02,16.42,16.87,16.33,16.73,12803600,16.44402
2016-03-01,15.83,16.05,15.82,16.03,12728200,15.75598
2016-02-29,15.73,16.02,15.55,15.57,11495500,15.30384
2016-02-26,15.80,15.84,15.38,15.59,15210300,15.3235
2016-02-25,16.01,16.17,15.78,16.00,14839200,15.72649
2016-02-24,16.60,16.72,16.06,16.18,22617000,15.90342
2016-02-23,17.19,17.85,16.97,17.63,19850500,17.32863
2016-02-22,16.84,17.255,16.62,17.18,9112500,16.88632
2016-02-19,16.86,16.97,16.51,16.61,8579100,16.32607
2016-02-18,16.75,16.97,16.74,16.95,12921500,16.66026
2016-02-17,16.23,16.26,15.94,15.98,8432600,15.70684
2016-02-16,16.16,16.71,16.15,16.59,9409800,16.30641
2016-02-15,15.97,16.14,15.72,15.98,12598100,15.70684
2016-02-12,15.00,15.51,14.95,15.09,10155400,14.83205
2016-02-11,15.38,15.49,15.11,15.24,9018500,14.97949
2016-02-10,15.43,15.74,15.31,15.65,13211400,15.38248
2016-02-09,16.01,16.12,15.83,16.05,11128100,15.77564
2016-02-08,15.94,16.44,15.90,16.37,9486100,16.09017
2016-02-05,15.88,16.24,15.64,16.20,14958000,15.92308
2016-02-04,14.82,15.55,14.75,15.45,11707900,15.1859
2016-02-03,14.46,14.46,14.17,14.27,10015500,14.02607
2016-02-02,15.14,15.20,14.90,14.92,8230600,14.66496
2016-02-01,15.50,15.53,15.06,15.25,9375700,14.98932
2016-01-29,15.44,15.54,15.26,15.35,15611900,15.08761
2016-01-28,15.10,15.39,15.02,15.10,12842300,14.84188
2016-01-27,15.49,15.59,14.99,15.01,16437500,14.75342
2016-01-26,15.28,15.28,15.28,15.28,000,15.0188
2016-01-25,15.40,15.41,15.14,15.28,11537600,15.0188
2016-01-22,15.33,15.44,15.05,15.26,14977500,14.99914
2016-01-21,14.15,14.61,14.06,14.20,13959800,13.95726
2016-01-20,14.53,14.67,14.14,14.21,11597100,13.96709
2016-01-19,14.65,14.91,14.52,14.73,8899000,14.4782
2016-01-18,14.77,14.77,14.50,14.63,10779000,14.37991
2016-01-15,15.59,15.75,14.95,15.07,12651100,14.81239
2016-01-14,14.56,14.96,14.45,14.88,14582500,14.62564
2016-01-13,14.80,14.94,14.52,14.77,18806100,14.51752
2016-01-12,15.45,15.51,15.01,15.01,14763700,14.75342
2016-01-11,15.85,15.89,15.42,15.55,15213800,15.28419
2016-01-08,16.11,16.53,15.95,16.35,12562000,16.07051
2016-01-07,16.73,16.88,16.30,16.33,13342700,16.05085
2016-01-06,17.75,17.82,17.01,17.15,8606900,16.85684
2016-01-05,17.73,17.96,17.51,17.58,6668400,17.27949
2016-01-04,17.85,18.19,17.73,17.80,6135600,17.49572
2016-01-01,17.86,17.86,17.86,17.86,000,17.5547
2015-12-31,17.91,17.91,17.75,17.86,4094600,17.5547
2015-12-30,18.21,18.24,17.905,18.09,7319700,17.78077
2015-12-29,17.83,18.11,17.77,18.11,7379100,17.80043
2015-12-28,18.34,18.34,18.34,18.34,000,18.02649
2015-12-25,18.34,18.34,18.34,18.34,000,18.02649
2015-12-24,18.23,18.37,18.09,18.34,8315500,18.02649
2015-12-23,17.00,17.52,16.92,17.41,10145300,17.11239
2015-12-22,17.01,17.09,16.78,16.83,7424200,16.54231
2015-12-21,16.61,17.20,16.61,17.13,7998400,16.83718
2015-12-18,16.56,16.87,16.40,16.87,29004900,16.58162
2015-12-17,17.10,17.30,16.92,17.02,14462800,16.72906
2015-12-16,16.68,17.27,16.58,17.18,16246500,16.88632
2015-12-15,16.39,16.49,16.25,16.27,13155700,15.99188
2015-12-14,16.69,16.88,16.57,16.60,12262900,16.31624
2015-12-11,17.24,17.38,17.09,17.20,8561900,16.90598
2015-12-10,17.31,17.68,17.27,17.48,12247400,17.1812
2015-12-09,16.98,17.43,16.71,17.16,14841800,16.86667
2015-12-08,17.57,17.57,17.00,17.05,15685800,16.75855
2015-12-07,18.17,18.27,17.96,17.99,5438900,17.68248
2015-12-04,17.95,18.06,17.81,17.93,11359000,17.6235
2015-12-03,18.45,18.48,18.19,18.19,10125100,17.87906
2015-12-02,18.76,18.96,18.65,18.75,8431200,18.42949
2015-12-01,18.24,18.76,18.23,18.75,12481200,18.42949
2015-11-30,18.53,18.56,18.09,18.09,17886300,17.78077
2015-11-27,18.98,19.24,18.77,18.77,12322500,18.44914
2015-11-26,19.06,19.29,18.93,18.94,17380400,18.61624
2015-11-25,19.79,19.96,19.67,19.67,8408500,19.33376
2015-11-24,19.75,19.91,19.65,19.71,10358700,19.37307
2015-11-23,20.15,20.18,19.87,20.07,11339700,19.72692
2015-11-20,20.17,20.85,20.17,20.50,10186300,20.14957
2015-11-19,20.20,20.42,19.96,20.42,8911200,20.07094
2015-11-18,19.84,19.92,19.73,19.81,12397800,19.47137
2015-11-17,20.32,20.37,20.12,20.37,8433600,20.02179
2015-11-16,19.95,20.49,19.90,20.10,9743900,19.75641
2015-11-13,19.96,20.34,19.81,20.23,18111000,19.88419
2015-11-12,20.59,20.81,20.22,20.61,9410300,20.25769
2015-11-11,21.48,21.48,20.88,20.95,12977600,20.59188
2015-11-10,21.35,21.70,21.27,21.57,13141000,21.20128
2015-11-09,21.90,22.08,21.42,21.42,16516900,21.05384
2015-11-06,22.55,22.76,22.02,22.70,18098500,22.31197
2015-11-05,23.50,23.50,23.05,23.28,5707700,22.88205
2015-11-04,23.55,23.815,23.39,23.47,9388300,23.0688
2015-11-03,22.95,23.31,22.91,23.02,8546500,22.62649
2015-11-02,23.00,23.20,22.73,22.80,4960100,22.41025
2015-10-30,23.02,23.19,22.85,23.02,15178500,22.62649
2015-10-29,24.15,24.15,23.365,23.47,6624200,23.0688
2015-10-28,23.98,23.98,23.65,23.78,8227600,23.3735
2015-10-27,24.44,24.465,24.15,24.34,6770100,23.92393
2015-10-26,24.84,24.92,24.53,24.57,4778400,24.15
2015-10-23,24.63,24.72,24.50,24.59,5772600,24.16966
2015-10-22,24.02,24.12,23.85,24.10,4350300,23.68803
2015-10-21,24.10,24.38,24.01,24.23,6071900,23.81581
2015-10-20,24.16,24.20,23.96,23.99,7455400,23.57991
2015-10-19,24.92,24.92,24.58,24.71,4683500,24.2876
2015-10-16,25.01,25.20,24.82,25.00,5971200,24.57265
2015-10-15,25.10,25.20,24.93,25.12,6697600,24.6906
2015-10-14,24.80,24.85,24.46,24.68,6609500,24.25812
2015-10-13,25.10,25.20,24.645,24.81,8439500,24.3859
2015-10-12,25.60,25.72,25.13,25.36,7434500,24.92649
2015-10-09,25.65,25.77,25.42,25.60,11193000,25.16239
2015-10-08,24.91,25.19,24.85,25.00,15006900,24.57265
2015-10-07,23.84,24.36,23.65,24.26,11951100,23.8453
2015-10-06,23.88,24.28,23.70,23.88,12072600,23.47179
2015-10-05,23.38,23.59,23.35,23.50,6972500,23.09829
2015-10-02,22.46,22.79,22.34,22.60,6211300,22.21367
2015-10-01,22.32,22.89,22.24,22.68,8294100,22.29231
2015-09-30,21.85,22.23,21.75,22.22,11592300,21.84017
