Date,Open,High,Low,Close,Volume,Adj Close
2016-03-25,74.82,74.82,74.82,74.82,000,74.82
2016-03-24,76.01,76.31,74.15,74.82,8965200,74.82
2016-03-23,76.76,77.00,76.17,76.70,2729600,76.70
2016-03-22,77.30,77.49,76.87,76.91,2824200,76.91
2016-03-21,78.11,78.15,76.74,77.14,1781700,77.14
2016-03-18,78.00,78.53,77.65,78.16,4505800,78.16
2016-03-17,76.65,77.96,76.25,77.38,4715400,77.38
2016-03-16,75.50,76.55,75.20,76.04,1764900,76.04
2016-03-15,76.84,76.86,75.25,75.45,1647900,75.45
2016-03-14,76.88,77.45,76.63,76.86,4135800,76.86
2016-03-11,76.30,76.75,75.42,76.37,1774900,76.37
2016-03-10,76.60,77.18,76.05,76.14,1786200,76.14
2016-03-09,75.20,76.31,75.00,76.31,2661600,76.31
2016-03-08,76.68,76.98,75.05,75.45,3363900,75.45
2016-03-07,76.19,77.165,75.74,76.89,2691800,76.89
2016-03-04,75.71,76.05,75.34,75.74,2660500,75.74
2016-03-03,74.16,74.91,74.01,74.91,3042300,74.91
2016-03-02,72.85,74.64,72.64,73.94,3667900,73.94
2016-03-01,70.11,71.48,70.09,71.41,3667400,71.41
2016-02-29,70.85,71.49,70.09,70.14,4476900,70.14
2016-02-26,71.50,71.75,70.35,70.72,4861300,70.72
2016-02-25,71.50,71.54,70.07,71.00,5357800,71.00
2016-02-24,72.62,72.71,71.00,71.26,3957500,71.26
2016-02-23,74.01,75.00,73.03,73.28,2571800,73.28
2016-02-22,73.20,74.42,73.16,74.24,2074300,74.24
2016-02-19,73.85,74.13,73.03,73.43,1768100,73.43
2016-02-18,73.31,74.28,73.00,74.28,3165000,74.28
2016-02-17,73.19,73.54,71.85,72.33,3410100,72.33
2016-02-16,72.50,72.74,70.75,72.60,5455700,72.60
2016-02-15,75.40,75.40,73.11,74.30,5367400,71.4714
2016-02-12,73.69,74.46,73.07,73.33,4264000,70.53833
2016-02-11,75.10,75.19,73.13,74.30,2862100,71.4714
2016-02-10,74.97,75.70,72.58,74.20,6540700,71.37521
2016-02-09,75.62,75.75,72.87,72.87,4592500,70.09584
2016-02-08,76.07,76.61,75.85,76.38,2222500,73.47221
2016-02-05,77.00,77.14,76.01,76.60,2267900,73.68384
2016-02-04,76.30,77.63,76.05,77.36,3125500,74.41491
2016-02-03,76.73,77.22,75.62,75.73,3758600,72.84696
2016-02-02,78.53,78.765,77.80,78.02,2339400,75.04978
2016-02-01,79.50,79.59,78.04,78.22,3603100,75.24217
2016-01-29,77.79,78.67,76.69,78.67,7035800,75.67503
2016-01-28,77.58,78.06,76.56,77.83,3143300,74.86702
2016-01-27,79.00,79.00,77.23,77.60,3232300,74.64577
2016-01-26,79.00,79.00,79.00,79.00,000,75.99247
2016-01-25,77.92,79.00,77.50,79.00,2932400,75.99247
2016-01-22,77.40,77.40,75.98,76.56,3581000,73.64536
2016-01-21,78.77,79.16,76.81,76.81,5261600,73.88584
2016-01-20,79.20,79.77,77.47,77.61,3383000,74.65539
2016-01-19,78.60,79.21,78.07,79.19,2300000,76.17524
2016-01-18,77.74,78.84,77.25,78.39,2460900,75.40569
2016-01-15,80.88,80.93,78.52,78.88,2701500,75.87704
2016-01-14,79.50,79.98,78.81,79.42,2147400,76.39648
2016-01-13,80.11,81.27,79.58,81.00,3143900,77.91633
2016-01-12,79.00,80.35,78.96,79.39,2927000,76.36763
2016-01-11,78.48,79.20,77.73,78.64,2588200,75.64618
2016-01-08,79.00,80.35,77.65,79.42,3791300,76.39648
2016-01-07,81.70,82.30,79.91,80.41,3320900,77.3488
2016-01-06,83.13,83.34,81.89,82.11,2477000,78.98408
2016-01-05,83.18,83.63,83.01,83.11,2761600,79.94601
2016-01-04,85.44,85.53,84.23,84.46,2230000,81.24461
2016-01-01,85.53,85.53,85.53,85.53,000,82.27387
2015-12-31,85.49,85.85,85.10,85.53,1800600,82.27387
2015-12-30,85.00,85.785,84.90,85.57,2623100,82.31235
2015-12-29,83.47,84.50,83.02,84.50,1840700,81.28309
2015-12-28,83.32,83.32,83.32,83.32,000,80.14801
2015-12-25,83.32,83.32,83.32,83.32,000,80.14801
2015-12-24,83.10,83.42,82.83,83.32,1620300,80.14801
2015-12-23,82.49,82.59,81.81,82.05,2522500,78.92636
2015-12-22,82.47,82.52,81.28,81.67,2092600,78.56082
2015-12-21,80.77,81.97,80.77,81.92,2198100,78.80131
2015-12-18,79.90,81.57,79.525,81.57,7936200,78.46463
2015-12-17,80.50,80.90,80.17,80.69,5445600,77.61814
2015-12-16,77.80,79.09,77.60,79.09,3102400,76.07904
2015-12-15,77.98,78.24,76.87,76.87,2701600,73.94356
2015-12-14,77.95,78.42,77.33,77.44,2914900,74.49186
2015-12-11,78.50,79.35,78.15,78.95,2284400,75.94437
2015-12-10,79.70,80.00,77.88,78.90,4186500,75.89628
2015-12-09,79.86,80.90,79.52,80.29,2497600,77.23336
2015-12-08,80.01,80.69,79.75,80.14,2474400,77.08907
2015-12-07,81.50,81.81,80.50,80.51,2028100,77.44499
2015-12-04,79.96,80.44,79.56,80.22,3408800,77.16603
2015-12-03,80.94,81.72,80.59,81.50,1902500,78.3973
2015-12-02,81.05,81.88,80.78,81.76,2445500,78.6474
2015-12-01,79.46,81.46,79.40,80.99,3556500,77.90671
2015-11-30,80.25,80.59,79.35,79.43,4247300,76.4061
2015-11-27,80.95,81.00,79.60,80.12,5545700,77.06984
2015-11-26,79.27,80.61,79.21,80.22,3292300,77.16603
2015-11-25,79.61,79.61,78.70,79.00,2373000,75.99247
2015-11-24,79.80,80.70,79.52,79.64,2604400,76.60811
2015-11-23,80.00,80.69,79.52,80.40,2001400,77.33918
2015-11-20,79.35,80.23,78.91,79.83,2950800,76.79088
2015-11-19,78.59,79.18,78.16,79.14,3267700,76.12714
2015-11-18,76.47,78.25,76.38,77.84,3150700,74.87663
2015-11-17,75.99,77.07,75.58,77.07,2930800,74.13595
2015-11-16,74.64,75.52,74.63,74.78,2114200,71.93313
2015-11-13,75.66,76.19,75.03,75.76,2885000,72.87582
2015-11-12,75.60,77.69,75.52,77.40,2560500,74.45339
2015-11-11,74.85,76.29,74.85,76.00,2720000,73.10668
2015-11-10,75.50,75.65,73.75,74.76,3464500,71.91389
2015-11-09,76.18,76.65,75.02,75.58,2288900,72.70267
