Date,Open,High,Low,Close,Volume,Adj Close
2016-03-25,65.81,65.81,65.81,65.81,000,65.81
2016-03-24,66.68,66.88,65.72,65.81,2579700,65.81
2016-03-23,67.37,67.62,66.96,67.46,711600,67.46
2016-03-22,67.80,67.80,66.65,67.38,850600,67.38
2016-03-21,68.16,68.25,66.41,67.57,1382800,67.57
2016-03-18,70.15,70.47,68.29,68.29,3182700,68.29
2016-03-17,69.08,70.08,68.91,69.90,2240100,69.90
2016-03-16,67.32,68.76,67.31,68.60,918600,68.60
2016-03-15,69.00,69.00,67.50,67.86,1216700,67.86
2016-03-14,67.90,69.00,67.82,68.85,1673200,68.85
2016-03-11,65.96,67.34,65.42,66.95,818700,66.95
2016-03-10,66.49,66.59,65.50,65.64,691400,65.64
2016-03-09,65.50,66.33,65.19,66.06,1058200,66.06
2016-03-08,67.73,67.73,65.82,65.95,1134700,65.95
2016-03-07,66.99,67.69,66.76,67.37,1098200,67.37
2016-03-04,65.89,66.59,65.44,66.33,1703200,66.33
2016-03-03,66.53,66.73,65.41,65.44,1875000,65.44
2016-03-02,66.43,67.16,65.66,66.63,1764400,66.63
2016-03-01,63.75,65.14,62.59,65.14,1527500,65.14
2016-02-29,64.10,65.19,64.08,64.26,1514800,64.26
2016-02-26,64.31,64.50,63.00,63.92,2532400,63.92
2016-02-25,64.65,64.81,63.19,64.16,1014600,64.16
2016-02-24,64.50,64.66,63.86,64.00,1114400,64.00
2016-02-23,66.00,66.49,65.32,65.51,1523600,65.51
2016-02-22,63.80,65.43,63.69,65.35,1295100,65.35
2016-02-19,64.20,64.80,63.39,63.90,1161000,63.90
2016-02-18,63.80,65.22,63.04,65.22,1624000,65.22
2016-02-17,63.20,63.25,61.57,62.69,1761400,62.69
2016-02-16,60.90,63.24,60.11,63.24,1806400,63.24
2016-02-15,60.45,60.75,59.49,59.67,1974800,59.67
2016-02-12,59.66,60.10,58.28,58.34,1739100,58.34
2016-02-11,60.41,60.87,59.40,60.54,1327700,60.54
2016-02-10,61.10,62.55,58.70,59.93,2648800,59.93
2016-02-09,62.12,62.18,60.39,60.66,2789600,60.66
2016-02-08,63.20,63.79,62.76,63.18,1337700,63.18
2016-02-05,65.50,66.66,63.24,63.74,2724900,63.74
2016-02-04,65.00,66.20,61.88,64.86,3339000,64.86
2016-02-03,69.58,69.76,68.17,68.26,1851700,68.26
2016-02-02,72.27,72.40,70.42,70.55,1247900,70.55
2016-02-01,72.10,72.59,71.54,72.04,1356100,72.04
2016-01-29,73.29,73.38,70.61,71.58,3686000,71.58
2016-01-28,73.75,73.93,72.52,73.45,1308700,73.45
2016-01-27,75.30,75.95,73.405,73.81,1289500,73.81
2016-01-26,75.39,75.39,75.39,75.39,000,75.39
2016-01-25,74.82,75.55,74.65,75.39,948100,75.39
2016-01-22,74.04,74.33,73.14,73.46,1189000,73.46
2016-01-21,73.19,74.00,72.90,73.22,1567200,73.22
2016-01-20,74.15,75.32,72.07,72.35,1515800,72.35
2016-01-19,72.44,73.91,72.14,73.91,981900,73.91
2016-01-18,72.32,72.79,71.69,72.46,979200,72.46
2016-01-15,75.50,75.84,73.02,73.52,1349000,73.52
2016-01-14,74.00,74.44,73.47,74.25,1159600,74.25
2016-01-13,75.20,76.31,75.00,75.95,1183000,75.95
2016-01-12,75.30,75.92,73.90,74.37,1399500,74.37
2016-01-11,75.78,76.04,73.36,74.30,1663700,74.30
2016-01-08,76.77,77.67,76.07,76.90,1573300,76.90
2016-01-07,79.00,79.74,77.60,77.73,1211100,77.73
2016-01-06,80.39,80.46,78.71,79.19,785400,79.19
2016-01-05,81.00,81.18,79.86,80.01,767200,80.01
2016-01-04,82.62,83.01,81.48,81.69,563500,81.69
2016-01-01,82.77,82.77,82.77,82.77,000,82.77
2015-12-31,82.60,83.10,82.51,82.77,403900,82.77
2015-12-30,82.95,83.24,82.55,82.97,798900,82.97
2015-12-29,80.80,82.16,80.80,82.07,795400,82.07
2015-12-28,80.74,80.74,80.74,80.74,000,80.74
2015-12-25,80.74,80.74,80.74,80.74,000,80.74
2015-12-24,81.00,81.10,80.69,80.74,395400,80.74
2015-12-23,79.24,80.26,79.10,80.14,725300,80.14
2015-12-22,79.03,79.10,78.23,78.42,705400,78.42
2015-12-21,78.00,78.49,77.68,78.20,926600,78.20
2015-12-18,78.34,78.73,77.89,78.30,3517900,78.30
2015-12-17,79.55,80.64,79.09,79.24,2012900,79.24
2015-12-16,78.50,79.11,78.15,79.03,1479500,79.03
2015-12-15,78.47,78.98,77.50,77.58,1736700,77.58
2015-12-14,79.50,79.67,77.86,78.14,1489800,78.14
2015-12-11,80.09,81.10,79.60,80.99,974300,80.99
2015-12-10,80.50,81.04,79.35,80.73,1348000,80.73
2015-12-09,81.82,82.43,80.58,80.80,1115400,80.80
2015-12-08,81.54,82.89,81.52,82.41,879100,82.41
2015-12-07,83.17,83.21,82.12,82.38,726000,82.38
2015-12-04,81.50,81.99,81.25,81.83,1010500,81.83
2015-12-03,81.70,83.10,81.70,82.93,654400,82.93
2015-12-02,82.84,83.29,82.34,82.84,720000,82.84
2015-12-01,81.66,82.96,81.50,82.69,974800,82.69
2015-11-30,81.42,81.98,80.94,81.41,1020700,81.41
2015-11-27,81.82,82.57,81.05,81.50,1317300,81.50
2015-11-26,81.24,82.31,81.24,81.70,939200,81.70
2015-11-25,81.50,81.98,81.18,81.20,846800,81.20
2015-11-24,82.00,82.86,81.61,81.90,1249100,81.90
2015-11-23,82.25,83.85,82.20,82.91,849700,82.91
2015-11-20,82.04,83.50,82.04,83.00,1151400,83.00
2015-11-19,82.42,82.64,81.73,82.47,1193600,82.47
2015-11-18,80.68,81.70,80.67,81.44,918800,81.44
2015-11-17,79.91,80.69,79.44,80.69,998000,80.69
2015-11-16,78.46,79.18,78.25,79.18,846400,79.18
2015-11-13,80.00,80.26,79.33,79.76,1200400,79.76
2015-11-12,80.97,82.10,80.90,81.61,820400,81.61
2015-11-11,80.64,81.60,80.53,81.39,931100,81.39
2015-11-10,79.61,80.37,79.17,80.20,1100800,80.20
2015-11-09,80.39,81.91,80.16,80.30,1321000,80.30
2015-11-06,82.12,83.08,81.54,82.43,939300,80.5557
2015-11-05,82.15,82.84,81.31,82.19,850900,80.32116
2015-11-04,83.51,83.88,82.83,82.91,950600,81.02479
2015-11-03,82.83,83.75,82.70,82.95,1082500,81.06387
2015-11-02,85.00,85.00,81.31,81.93,2145200,80.06707
2015-10-30,84.84,86.72,84.50,85.70,3153500,83.75134
2015-10-29,83.93,84.42,83.65,84.01,947200,82.09977
2015-10-28,83.37,83.73,82.92,83.60,533300,81.69909
2015-10-27,83.01,83.54,82.79,83.31,751700,81.41569
2015-10-26,83.34,83.68,82.52,82.65,737700,80.7707
2015-10-23,83.08,83.645,83.05,83.24,1055600,81.34728
2015-10-22,82.30,82.34,81.67,82.05,522200,80.18434
2015-10-21,81.95,82.54,81.41,82.40,601500,80.52638
2015-10-20,82.63,82.67,81.88,81.92,591900,80.05729
2015-10-19,82.84,83.01,81.85,82.51,860200,80.63388
2015-10-16,82.00,82.65,81.49,82.44,1594400,80.56547
2015-10-15,80.27,81.055,79.57,81.00,1157000,79.15821
2015-10-14,79.15,79.76,79.12,79.69,1085000,77.878
2015-10-13,81.11,81.15,79.47,80.16,1094800,78.33732
2015-10-12,81.14,82.22,80.05,80.77,1944200,78.93344
2015-10-09,80.94,81.06,80.09,80.94,1722300,79.09958
2015-10-08,77.84,77.84,77.84,77.84,000,76.07006
2015-10-07,77.52,77.925,76.64,77.84,824600,76.07006
2015-10-06,78.15,78.15,76.93,77.01,840600,75.25894
2015-10-05,77.50,77.50,76.61,77.16,538400,75.40553
2015-10-02,75.80,77.08,75.80,76.29,858200,74.55531
2015-10-01,77.29,78.30,76.91,77.25,998600,75.49348
2015-09-30,76.00,76.83,75.525,76.66,1165900,74.9169
2015-09-29,77.20,77.26,75.00,75.00,1728400,73.29464
2015-09-28,77.50,79.05,77.50,78.94,957300,77.14506
2015-09-25,77.84,78.27,77.32,77.40,2305100,75.64007
2015-09-24,77.74,78.02,77.16,77.56,962800,75.79643
2015-09-23,77.79,77.79,76.66,77.00,1208200,75.24917
2015-09-22,78.19,78.49,77.56,77.97,617900,76.19711
2015-09-21,77.01,77.74,76.62,77.42,888000,75.65961
2015-09-18,78.40,79.18,77.33,78.71,1196400,76.92028
2015-09-17,79.00,79.41,77.69,78.00,1490400,76.22643
2015-09-16,78.35,78.50,77.30,78.23,1558500,76.4512
2015-09-15,78.00,78.32,76.97,77.00,1273300,75.24917
2015-09-14,77.37,78.25,77.06,77.57,1344300,75.80621
2015-09-11,75.60,76.47,74.74,75.80,806500,74.07646
2015-09-10,75.20,76.29,75.19,75.92,897400,74.19372
2015-09-09,75.95,77.46,75.85,77.34,1391600,75.58143
2015-09-08,74.00,74.61,73.35,74.53,841900,72.83533
2015-09-07,73.18,74.25,72.07,73.30,635500,71.6333
2015-09-04,72.71,74.35,72.59,72.82,1253300,71.16421
2015-09-03,75.92,75.95,72.91,72.91,945300,71.25217
2015-09-02,72.58,74.42,71.945,74.04,1648500,72.35647
2015-09-01,75.54,76.20,73.98,74.45,978200,72.75715
2015-08-31,76.50,76.69,75.21,75.93,1371000,74.2035
2015-08-28,76.70,77.80,76.36,76.92,2679200,75.17098
2015-08-27,77.50,77.50,76.11,76.24,1347600,74.50645
2015-08-26,73.50,75.26,73.01,75.18,1813200,73.47055
2015-08-25,69.50,74.90,69.49,74.45,3149500,72.75715
2015-08-24,71.10,73.45,70.10,70.33,3199000,68.73083
2015-08-21,75.60,75.78,73.77,74.68,2207700,72.98192
2015-08-20,78.66,78.71,77.10,77.43,1466700,75.66939
2015-08-19,79.39,79.67,78.29,79.36,1102000,77.55551
2015-08-18,78.94,79.92,78.42,78.85,1051700,77.0571
2015-08-17,79.05,79.555,78.79,78.98,532800,77.18415
2015-08-14,78.50,79.31,78.50,78.93,935000,77.13528
2015-08-13,78.58,79.25,78.10,78.73,1468100,76.93983
2015-08-12,78.45,79.68,78.01,78.64,1610800,76.85188
2015-08-11,79.55,79.98,78.30,79.11,1149900,77.31119
2015-08-10,79.85,80.00,79.00,79.44,1164000,77.63369
2015-08-07,80.09,80.93,80.00,80.08,755900,78.25913
2015-08-06,82.00,82.34,80.815,81.00,979200,79.15821
